t,totalmass,massrate
10.62,11.0061197210526,6.58354753536299
10.63,11.1205924073087,11.4472686256115
10.64,11.1890219116338,6.84295043251007
10.65,11.267624336983,7.86024253491889
10.66,11.3476635492072,8.00392122242376
10.67,11.4124988620971,6.48353128898813
10.68,11.4496866047565,3.7187742659369
10.69,11.4496866047565,0
10.7,11.4496866047565,0
10.71,11.4496866047565,0
10.72,11.4496866047565,0
10.73,11.4496866047565,0
10.74,11.4496866047565,0
10.75,11.4496866047565,0
10.76,11.4496866047565,0
10.77,11.4496866047565,0
10.78,11.4496866047565,0
10.79,11.4496866047565,0
10.8,11.4513621208384,0.167551608191378
10.81,11.462453554752,1.10914339136435
10.82,11.4706740555289,0.82205007768936
10.83,11.4817654894426,1.10914339136452
10.84,11.4817654894426,0
10.85,11.4881489644403,0.638347499777951
10.86,11.4970479285932,0.889896415291268
10.87,11.504109866967,0.70619383737986
10.88,11.523181752144,1.90718851770009
10.89,11.5411360999292,1.79543477851678
10.9,11.558333444522,1.7197344592811
10.91,11.5918881606344,3.35547161124027
10.92,11.6356987676518,4.38106070173536
10.93,11.6596401214418,2.39413537900669
10.94,11.7225223539312,6.28822324893556
10.95,11.7642190310042,4.16966770729587
10.96,11.828731984653,6.45129536488225
10.97,11.8888624483848,6.01304637318695
10.98,11.9820269046391,9.31644562542684
10.99,12.0455510055577,6.35241009186307
11,12.120844744061,7.52937385032962
11.01,12.2033972052754,8.25524612143662
11.02,12.3175153674082,11.4118162132829
11.03,12.3920882972176,7.45729298093423
11.04,12.4801117306163,8.80234333987783
11.05,12.5171004487734,3.69887181570929
11.06,12.530545862145,1.34454133715781
11.07,12.530545862145,0
11.08,12.530545862145,0
11.09,12.530545862145,0
11.1,12.530545862145,0
11.11,12.530545862145,0
11.12,12.530545862145,0
11.13,12.530545862145,0
11.14,12.530545862145,0
11.15,12.530545862145,0
11.16,12.530545862145,0
11.17,12.5322213782269,0.167551608191378
11.18,12.5372479264727,0.502654824574312
11.19,12.5443098648465,0.70619383737986
11.2,12.5443098648465,0
11.21,12.5490178237623,0.470795891586573
11.22,12.5530473193022,0.402949553984665
11.23,12.5741536747489,2.11063554467193
11.24,12.5857245475363,1.15708727873883
11.25,12.5984129577155,1.26884101792214
11.26,12.6189613344721,2.05483767566386
11.27,12.6668424620406,4.78811275684621
11.28,12.7000007091601,3.31582471195223
11.29,12.7206276257331,2.06269165729763
11.3,12.7497570374661,2.91294117330086
11.31,12.7726593936807,2.29023562145715
11.32,12.8240486330457,5.13892393649721
11.33,12.8888457709771,6.47971379314744
11.34,12.9393988071801,5.05530362029377
11.35,12.9818935124566,4.24947052765773
11.36,13.0832775496295,10.138403717283
11.37,13.16391602526,8.06384756305791
11.38,13.2720818461402,10.8165820880159
11.39,13.3483302920315,7.62484458912543
11.4,13.4514655350497,10.3135243018228
11.41,13.512913220829,6.14476857793115
11.42,13.5746375510686,6.17243302395935
11.43,13.5904779689094,1.58404178407729
11.44,13.5951859278252,0.470795891586573
11.45,13.5975399072831,0.235397945793287
11.46,13.5975399072831,0
11.47,13.5975399072831,0
11.48,13.5975399072831,0
11.49,13.5975399072831,0
11.5,13.5975399072831,0
11.51,13.5975399072831,0
11.52,13.5975399072831,0
11.53,13.5975399072831,0
11.54,13.5975399072831,0
11.55,13.5992154233651,0.167551608191378
11.56,13.6055988983628,0.638347499777951
11.57,13.6224783137791,1.68794154162683
11.58,13.6351667239583,1.26884101792214
11.59,13.6422286623321,0.70619383737986
11.6,13.6596660564385,1.7437394106349
11.61,13.6643740153543,0.470795891586573
11.62,13.6776204042236,1.32463888693021
11.63,13.6887118381373,1.10914339136452
11.64,13.7234251166528,3.47132785154977
11.65,13.7469280565804,2.35029399275858
11.66,13.7772901404683,3.03620838879233
11.67,13.8277226919853,5.04325515169993
11.68,13.8586061596166,3.088346763126
11.69,13.9028145559335,4.42083963169068
11.7,13.9568801339974,5.40655780639656
11.71,14.0189649984365,6.20848644390698
11.72,14.0765799730132,5.76149745767363
11.73,14.1377860292673,6.12060562541018
11.74,14.2156283416663,7.78423123989801
11.75,14.285013873686,6.93855320197335
11.76,14.4038697100124,11.8855836326401
11.77,14.4902535621227,8.63838521102667
11.78,14.5712472220299,8.09936599071987
11.79,14.6296624649753,5.84152429453596
11.8,14.6494128135283,1.975034855302
11.81,14.6583903174975,0.897750396925034
11.82,14.6583903174975,0
11.83,14.6583903174975,0
11.84,14.6583903174975,0
11.85,14.6583903174975,0
11.86,14.6583903174975,0
11.87,14.6583903174975,0
11.88,14.6583903174975,0
11.89,14.6583903174975,0
11.9,14.6583903174975,0
11.91,14.6583903174975,0
11.92,14.6583903174975,0
11.93,14.6617413496614,0.335103216382756
11.94,14.6775407424909,1.5799392829511
11.95,14.6864397066438,0.889896415291268
11.96,14.6920661784492,0.562647180542277
11.97,14.7024791489868,1.04129705376262
11.98,14.7195560088937,1.70768599068727
11.99,14.7426946447106,2.31386358169244
12,14.7514320991663,0.873745445571238
12.01,14.7710619630334,1.96298638670816
12.02,14.7989116675241,2.78497044906423
12.03,14.8240894633802,2.51777958561667
12.04,14.8500242624287,2.59347990485234
12.05,14.8915219149994,4.14976525706826
12.06,14.9485748812699,5.70529662704718
12.07,14.9824901315818,3.39152503118791
12.08,15.0274593010022,4.49691694204486
12.09,15.0733043782893,4.5845077287072
12.1,15.1314413967627,5.8137018473413
12.11,15.1805589663973,4.91175696345619
12.12,15.2666255494843,8.6066583087064
12.13,15.3466265867501,8.00010372658219
12.14,15.4482105682836,10.1583981533436
12.15,15.5851061718805,13.6895603596944
12.16,15.6417247539047,5.66185820241745
12.17,15.7018962426478,6.01714887431314
12.18,15.7155817055329,1.36854628851161
12.19,15.7155817055329,0
12.2,15.7155817055329,0
