time,Fx,Fy,Fz,Mx,My,Mz
6.01,3.50479830465945,99.127050672435,-180.139311878389,-12.3944685929813,0.283948768819566,-0.102099860224906
6.02,7.16046259654181,131.760961022771,-192.002225822275,-15.7507970803507,0.595313641101976,-0.54948735881008
6.03,4.56636627046175,163.854750520152,-196.55337318633,-18.5257148329709,0.0114956042083751,-1.07066167772115
6.04,6.33633703357126,190.701380599177,-207.185611512766,-20.6631883289513,0.273714871485632,-1.50676714474795
6.05,5.72118207083258,202.801081045814,-213.899718192016,-21.7124813245036,-0.228196230625004,-2.16265076668154
6.06,4.66522390920376,207.84758054255,-226.992586234793,-21.681725235511,-0.266647457954728,-1.6822161215067
6.07,3.97136487642854,240.217076790856,-231.22080148112,-24.3001487940281,-0.700492549822236,-2.25289667854814
6.08,-0.956553887975169,260.298494139112,-232.817070933779,-25.5196180815065,-0.942177408054002,-1.71661111765342
6.09,5.67497244377652,257.594032808911,-240.535174674304,-24.79094452584,-0.126400644918006,-1.64939149345353
6.1,5.32234729586537,228.568987433647,-235.874703702313,-21.2641360949775,0.173095631837362,0.324805385293093
6.11,7.13055730406556,229.819516435777,-219.776030083748,-20.4147640933502,-0.0626102146341697,-1.08151823228812
6.12,-2.63808003141237,233.886240872162,-221.40398255558,-20.826128545127,-1.11047475320112,-1.66920519406436
6.13,1.02456334073665,254.627654863917,-209.336661681224,-22.4600720387491,-0.969998456875095,0.246100316374412
6.14,0.126377580964583,284.918887195033,-197.956803991465,-24.3573581845927,-0.620909228844915,1.19501991264621
6.15,-8.6466310082965,266.408349367945,-204.061005931999,-22.3859960167703,-1.45180929554771,-0.459296835982525
6.16,0.471802974515166,246.996855727942,-179.845220979701,-20.0226062768937,-0.607021201651307,-1.59787395985907
6.17,3.44793898209267,264.630533693545,-169.19378485549,-21.7598991130774,-0.689159074059075,0.0597765949215841
6.18,2.85006011670376,276.447454920536,-172.968330701645,-23.0659704332258,-0.748640764588297,1.77527530149394
6.19,-4.72890181231541,292.076239870347,-164.71653391436,-24.2474403668533,-1.59704053221231,0.393109588973703
6.2,-24.4373243729701,308.333726963766,-154.597248540082,-24.9369032063584,-3.10480703251303,-0.66945851689987
6.21,-8.85284506931105,239.557986207308,-163.494706289232,-18.4372790864298,-0.618312620077488,-4.15004627811035
6.22,-6.01686783542657,245.167659307524,-142.645833368344,-19.5047892843224,-0.78810675776733,-1.77181025741459
6.23,-1.92583628685415,281.699866514771,-140.743438101717,-23.2969120940137,-0.345847881226966,-0.551088773107509
6.24,-0.589073885503381,274.083698947634,-144.197650222358,-22.0742349559652,-0.0860770441388396,1.15261763355151
6.25,-4.47215917746833,250.163584155159,-136.807685590242,-20.3330644011373,1.26041699043132,-2.4592723316785
6.26,-3.70792335540432,274.605508534722,-112.343484418464,-22.3127686837338,1.59430141070865,-6.04977699900499
6.27,-17.0422926911051,295.378406193043,-113.142616854466,-23.7862039087795,-0.304156055961494,-5.55308113695481
6.28,-12.8383375302088,267.770605369451,-120.559821809585,-20.3844838258494,-0.660736428069484,-0.94158763978426
6.29,-6.66793196360518,289.583994441378,-124.014402712591,-21.9579878459114,0.469164533740494,-0.540127583354298
6.3,-5.88093176173247,252.750851655867,-141.921957982593,-17.4688291315286,0.181154269653551,0.372600225925733
6.31,-1.3979952662924,255.676124239486,-136.090918764288,-17.4196138747222,0.794534933392484,-0.391222071377957
